tweet_id,time,text,retweet_count,favorite_count,reply_count,quote_count,language,keyword
1662196025472286720,2023-05-26 20:36:29,随着大批港人流散海外，有关香港的研究成为学界热门课题。英国萨里大学（University of Surrey）成立欧洲首个 #香港研究所（Hong Kong Studies Hub），希望进行更多针对香港的学术研究，帮助决策者了解香港社群。研究所也正筹建全新的香港研究图书馆，计划收集包括 #香港禁书 在内的图书。…,1,1,1,0,zh,University of Hong Kong
1662272856003317761,2023-05-27 01:41:47,"💪Recently, the Hong Kong University of Science and Technology's SZ-HK Collaborative Innovation Research Institute commemorated its third anniversary by holding an exhibition at in Hetao Shenzhen-Hong Kong Science and Technology Innovation Cooperation Zone (#HTCZ). #HitechFutian https://t.co/cXfJclFGQE",0,0,1,0,en,University of Hong Kong
1662375711129354241,2023-05-27 08:30:29,"英國薩里大學(University of Surrey)宣佈開設「香港研究所」(Hong Kong Studies Hub)，由香港抗爭紀錄片《香港本色》導演馬寶康（Malte Philipp Kaeding）擔任總監。薩里大學香港研究所是首間於歐洲成立，並致力推廣香港研究的學術機構，已奠定立足歐洲研究香港的里程碑。
https://t.co/ao3bbOunaO",1,1,0,0,zh,University of Hong Kong
1662391314955268098,2023-05-27 09:32:29,"Python and Statistics for Financial Analysis 수료증 #홍콩과학기술대학 #박서희
The Hong Kong University of Science and Technology https://t.co/eVzD732SH8",0,0,0,0,en,University of Hong Kong
1662401419792756737,2023-05-27 10:12:39,We couldn’t do it without you! Our deepest gratitude to our friends at ESF Sha Tin College and The University of Hong Kong - HKU - 香港大學 who helped us today. Please spread the word about #refugeeunion. Thank you so much 😊 https://t.co/r9BqdqGhfs,0,0,0,0,en,University of Hong Kong
1662422685886849024,2023-05-27 11:37:09,@LinkedIn really has let this hacker steal my profile after I did everything I could before they started changing everything. The latest is removing my profile pic changing my name to Jenny Shana 😠and adding the university of Hong Kong. https://t.co/TUeO2QtDmh,0,0,0,0,en,University of Hong Kong
1662458095271034881,2023-05-27 13:57:51,"Uyghur Scholar Is Missing in Hong Kong, Rights Group Says, Raising Fear of Detention - WSJ https://t.co/RPTHx5oOJp",1,2,1,1,en,University of Hong Kong
1662458440294498305,2023-05-27 13:59:13,"“Abuduwaili Abudureheman, who had spent the past 7 years completing a doctoral degree in sports industry &amp; leisure at a university in the South Korean capital, was last heard from on May10, when he arrived in Hong Kong on a visit tosee a friend, Amnesty International said Friday”",0,1,0,0,en,University of Hong Kong
1662537935693004801,2023-05-27 19:15:06,"Badacze wykorzystali AI do rekonstrukcji wysokiej jakości filmów z aktywności mózgu.

Badacze Jiaxin Qing, Zijiao Chen i Juan Helen Zhou z National University of Singapore i The Chinese University of Hong Kong wykorzystali dane z fMRI oraz model AI tekst-na-obraz Stable Diffusion…",0,1,0,0,pl,University of Hong Kong
1662662569369419778,2023-05-28 03:30:21,"1// Left: 

Construction workers move the metal sheets to cover up a campus inscription mourning the 1989 Tiananmen Square crackdown on a campus footbridge at the University of Hong Kong (HKU) on January 29, 2022. @AFP",0,2,1,0,en,University of Hong Kong
1662680579953795073,2023-05-28 04:41:56,"@CheshireMatters @SteveDaSilva9 @GazHonestly @pete4740 That 70,000 includes people from Ukraine Hong Kong, and Afghanistan! It includes post grad students, who pay an awful lot of money into universities! You haven’t broken the number down to include legal migration! Typical right winger who hasn’t a clue what they are talking about!",0,0,0,0,en,University of Hong Kong
1662742779531862016,2023-05-28 08:49:05,"@JSMONT83 @CJ_Haslett @jeremycorbyn The rest are students, without whom our universities would be in financial trouble and people from Ukraine, Hong Kong and Afghanistan who are fleeing from danger and who will have a wide range of skills and professional qualifications.",0,0,0,0,en,University of Hong Kong
1662851708350005250,2023-05-28 16:01:56,"Failure to detect association between polymorphisms of the sodium channel gene SCN1A and febrile seizures in Chinese patients with epilepsy

[2010. Chinese University of Hong Kong]

https://t.co/kUOJ1QllYZ",0,0,1,0,en,University of Hong Kong
1662873393241411584,2023-05-28 17:28:06,"New from Duke University Press: Sexuality and the Rise of China: The Post-1990s Gay Generation in Hong Kong, Taiwan, and Mainland China by Travis S. K. Kong
@DukePress @HKUsociology 
https://t.co/8TPXgBmjWQ https://t.co/Oah6kxkVEZ",0,0,0,0,en,University of Hong Kong
1662919014367080451,2023-05-28 20:29:23,"Horrors of the China’s Cultural Revolution under Mao Zedong were many. Frank Dikotter, a professor of history at Hong Kong University and author of “The Cultural Revolution: A People’s History 1962-76” shares: 

Higher education was a particular target. Professors were spat upon… https://t.co/NGUQphODUb",0,1,0,0,en,University of Hong Kong
1662940221414023168,2023-05-28 21:53:39,طالع هذا الفيديو من The Hong Kong University of Science and Technology: Understanding Modern Physics III: Simplicity and Complexity على @Coursera. https://t.co/08Ow0rBLmZ #Coursera,0,0,0,0,und,University of Hong Kong
1662943537271541762,2023-05-28 22:06:49,"It’s been a hectic week😎, sharing what is coming on digital civilization, especially when taking my two lovely children 👧 👦 to meet University of Oxford Professor thanks to GAO Bo hosting us a sumptuous dinner🌟.  Flying #hongkong now and will be there…https://t.co/yM8k8Esh1u",0,0,0,0,en,University of Hong Kong
1662974409521651712,2023-05-29 00:09:30,"Luke Russell (Sydney) 'The Forgiveness Pill'
16:30–18:00 (Hong Kong Time)
On campus &amp; Online (link below) https://t.co/3mEPBs2Bz2",0,0,0,0,en,University of Hong Kong
1662977810367934465,2023-05-29 00:23:01,"Sharing a snapshot of our webinar with the Education University of Hong Kong on Australian work culture. Thanks to all the students who took part - your active participation and eagerness to learn contributed to the vibrant discussions that we had.
#internship #Australia https://t.co/X7gnYVoWRl",0,0,0,0,en,University of Hong Kong
1662995971289264128,2023-05-29 01:35:11,"In a collaboration between ECE's Dr. Yanling Zhou &amp; Dr. Aihua Hu from Western Norway University of Applied Sciences (HVL), students met online to and compare education in Hong Kong, Mainland China, &amp; Norway. Read more: https://t.co/bjFcFBf8Gs #COIL #virtualexchange https://t.co/fJYKvDnxXy",0,0,0,0,en,University of Hong Kong
1663004028819894273,2023-05-29 02:07:12,"On 13/5/2023, Prof. Kenneth Sin was invited to present a keynote in The Third Gan-Guangdong-Hong Kong Inclusive Education Conference in the Yu Zhang Normal University, Nan Chang.  

Learn more: https://t.co/qeXRnnUpDb https://t.co/P5nkR94Coi",0,0,0,0,en,University of Hong Kong
1663024112867098626,2023-05-29 03:27:00,"Professor Zhengxiao GUO of HKU Chemistry and his collaborators have discovered a new way of turning harmful greenhouse gas methane into useful formaldehyde using sunlight.
https://t.co/YU73sx6n8j

#hku #hkuscience #science #EcoFriendlyChemistry #SustainableScience",0,3,0,1,en,University of Hong Kong
1663039935123984386,2023-05-29 04:29:52,"Event planners can’t ever plan everything, but anticipating what could go wrong with a back-up plan surely helps. Learn more from Lian Chan, Outstanding Student 2022 of
@PolyUSHTM : https://t.co/kAEsPwTrg1 https://t.co/WG6S8qsNQc",0,0,0,0,en,University of Hong Kong
1663065772326010880,2023-05-29 06:12:33,Andy Vermaut shares:AI in dentistry: Researchers find that artificial intelligence can create better dental crowns: Researchers from the University of Hong Kong developed an AI… Thank you. #ThankYouJournalistsForTheNewsWeGetFromYou #AndyVermautThanksYou https://t.co/5IXwfcoHMZ https://t.co/mLZwzMeaH3,0,0,0,0,en,University of Hong Kong
1663068994994319361,2023-05-29 06:25:21,#AIAlgorithm #UniversityOfHongKong #3DMachineLearning #DentalCrowns: AI Algorithm Developed By University of Hong Kong Researchers to Design Highly Accurate Personalized Dental Crowns https://t.co/0U0gscoEtG,0,0,0,0,en,University of Hong Kong
1663070204954394624,2023-05-29 06:30:09,"New article by Seongseop (Sam) Kim, Jungkeun Kim, and YoungJoon Choi of The Hong Kong Polytechnic University, Auckland University of Technology, and Ewha Womans University - click to learn more! https://t.co/btkdfMKYO9 #weareanzmac #covid19 #crisis #airlines #messages #risk https://t.co/YdhFaRdBMg",0,0,0,0,en,University of Hong Kong
1663075812487356416,2023-05-29 06:52:26,"A multidisciplinary team led by Dr Peter Mortimer from the Kunming Institute of Botany, Chinese Academy of Sciences, and Professor Alice Hughes from the Chinese University of Hong Kong conducted an investigation into the bat cave habitats in China’s southwestern mountains. https://t.co/wenVVSjcTT",0,0,0,0,en,University of Hong Kong
1663088487845842944,2023-05-29 07:42:48,The impact of Hong Kong university research on society https://t.co/9RsgtkWBEh via @wonkhe,0,0,0,0,en,University of Hong Kong
1663091850578919425,2023-05-29 07:56:10,"Yesterday, I had my first TEDx presentation at The Education University of Hong Kong. I extend my gratitude for the organizers for the invitation to share my ideas on the future of education in the AI-driven landscape.
#education #humanities #ted #tedx #tedtalk #linguistics #ai https://t.co/ofRjyVRXr1",0,0,0,0,en,University of Hong Kong
1663094124373843968,2023-05-29 08:05:12,The University has launched Europe’s first research hub dedicated to Hong Kong Studies. It will aim to shape policy debates and the broader question of the role of Hong Kong communities in international relations. Read more: https://t.co/6ZEYh6ZLB5 #ForeverSurrey #ProudToBeSurrey https://t.co/YV0XKmyVpU,0,0,0,0,en,University of Hong Kong
1663094665204334592,2023-05-29 08:07:21,"But the statue in UBC is not permanent: It was erected in the campus in a way similar to the one in Chinese University of Hong Kong through a deal with the student union and then-president of UBC.

When the student and campus grow, it was moved to make way of development. https://t.co/0RWLNGcnH0",0,0,0,0,en,University of Hong Kong
1663099337948434432,2023-05-29 08:25:55,"Recently, I visited🕶 the famous #university  of #Hong Kong（#HKU）🇭🇰. Also, what do u think of my #figure
#China🇨🇳 #bodybuilding🏋🏻🏋🏻 
#dreamboy👦 #young👏👏
#generations👥 #traveling✈️ https://t.co/0eSriWgDto",0,1,0,0,en,University of Hong Kong
1663113712453160961,2023-05-29 09:23:02,AI in dentistry: Researchers find that artificial intelligence can create better dental crowns #MedicalNews #PublicHealth #Medicine [Video] Researchers from the University of Hong Kong developed an AI algorithm that uses 3D machine learning to design… https://t.co/aai0Ce7ZEe,0,0,0,0,en,University of Hong Kong
